proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293420,"replace finishes in two baths plus powder room in kind/no structural work. replace kitchen cabinets, counters & finishes.",100000,Marina,2,Bl,001N,2021-06-29T00:00:00.000,0,0436B,3,3,Marina,otc alterations permit,8,2021-06-29T00:00:00.000,94123,161982670246,wood frame (5),100000,165,1 family dwelling,1,"{coordinates:[-122.43504050622192,37.80545807989621],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-29T00:00:00.000,2,5,202106293421,"fire sprinklers per nfpa 13r, top 2 floors only area protected per approved permit 2018 1024 4065, including fire only services, back-flow underground piping.",0,Stanyan,5,St,041,2021-06-29T00:00:00.000,2,1289,2,2,Inner Sunset,otc alterations permit,8,2021-06-29T00:00:00.000,94117,161982895534,wood frame (5),10871,1278,1 family dwelling,1,"{coordinates:[-122.45131668693018,37.76011806141709],type:Point}",filed,wood frame (5)
2 family dwelling,,2021-06-29T00:00:00.000,,,202106293377,re-roofing: remove and replace roofing material / existing roofing material (in-kind),31500,Willard,5,St,008A,2021-06-29T00:00:00.000,0,2642,,,Inner Sunset,otc alterations permit,8,2021-06-29T00:00:00.000,94117,1619781140525,,31500,1561,2 family dwelling,,"{coordinates:[-122.45403827128516,37.76185666919143],type:Point}",issued,
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293378,"in-kind bathroom remodel, new tile, banity, fan lighting, plumbing fixtures.",30000,Stanyan,5,St,023,2021-06-29T00:00:00.000,0,2664,2,2,Inner Sunset,otc alterations permit,8,2021-06-29T00:00:00.000,94117,1619782141304,wood frame (5),30000,1259,1 family dwelling,1,"{coordinates:[-122.4520938815511,37.76052893040749],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293467,"revision to. new rear stair,(e) door at 2nd fl rear side to be remained.",0,Castro,8,St,031,2021-06-29T00:00:00.000,2,6729,2,2,Glen Park,otc alterations permit,8,2021-06-29T00:00:00.000,94131,1619879211531,wood frame (5),,3030,1 family dwelling,1,"{coordinates:[-122.43271495985277,37.735399052541716],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293468,"concrete patio, 6 foot wood fence on grade, pre-cast planter",8000,29th,4,Av,001G,2021-06-29T00:00:00.000,2,2149,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-29T00:00:00.000,94116,1619880127610,wood frame (5),8000,2031,1 family dwelling,1,"{coordinates:[-122.48720890953781,37.7493989831533],type:Point}",filed,wood frame (5)
office,1,2021-06-29T00:00:00.000,,1,202106293413,relocate (25) concealed sprinker heads remove (1) sprinkler head (ground fl. lobby),6250,Montgomery,3,St,008,2021-06-29T00:00:00.000,2,0268,22,22,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94104,161982066168,constr type 1,6250,220,office,,"{coordinates:[-122.40197974494251,37.791306419883874],type:Point}",issued,constr type 1
club,2,2021-06-29T00:00:00.000,18,2,202106293422,remove customers existing ppc liquid system and install new ansul ul wet chemical system.,12000,California,3,St,001,2021-06-29T00:00:00.000,2,0245,3,3,Nob Hill,otc alterations permit,8,2021-06-29T00:00:00.000,94108,1619830233151,constr type 2,12000,1000,club,18,"{coordinates:[-122.4113967664088,37.79225982956419],type:Point}",filed,constr type 2
office,1,2021-06-29T00:00:00.000,33,1,202106293419,"fire life safety: install (2) smoke detectors, (6) control relay modules",5280,Montgomery,3,St,028,2021-06-29T00:00:00.000,2,0208,21,21,Chinatown,otc alterations permit,8,2021-06-29T00:00:00.000,94111,1619825232756,constr type 1,5280,655,office,33,"{coordinates:[-122.4036072187245,37.795235531616086],type:Point}",issued,constr type 1
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293376,install 4 replacment windows - non-visible. u-factor 0.30 or better.,12975,Fulton,1,St,015,2021-06-29T00:00:00.000,0,1646,3,3,Inner Richmond,otc alterations permit,8,2021-06-29T00:00:00.000,94122,1619780108332,wood frame (5),12975,2722,1 family dwelling,1,"{coordinates:[-122.46105319576836,37.774260394179905],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293374,windows: install 2 windows. replace (e) vinyle with (n) wood / alum clad. no size changes. u-factor 0.30 or better.,16000,Teresita,7,Bl,029,2021-06-29T00:00:00.000,0,3028B,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-29T00:00:00.000,94127,1619778150434,wood frame (5),16000,918,1 family dwelling,1,"{coordinates:[-122.44652046086297,37.734277298420764],type:Point}",issued,wood frame (5)
office,1,2021-07-01T00:00:00.000,,1,202106293396,"as-built plans for fire/smoke dampers location with matrix requested by sffd.revision to 4/5/6 floors under pa 202001292992, 202002204904, 202003036071. maher n/a.",1,Howard,6,St,030,2021-06-29T00:00:00.000,2,3737,10,10,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94105,1619827450880,constr type 1,1,405,office,,"{coordinates:[-122.39514329118796,37.788529756295794],type:Point}",issued,constr type 1
office,1,2021-06-29T00:00:00.000,0,1,202106293447,"ti non structural interior partitions and modi0fications to (e) ceiling, lighting, electrical and finishes.",500000,Bush,3,St,011,2021-06-29T00:00:00.000,2,0290,19,19,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94104,1619856299062,constr type 1,700000,1,office,0,"{coordinates:[-122.40011864229578,37.79085402501241],type:Point}",filed,constr type 1
office,1,2021-06-29T00:00:00.000,,1,202106293424,17/f:  demising wall. maher n/a. suites 1700/1720,10000,Sansome,3,St,038,2021-06-29T00:00:00.000,2,0228,21,21,Chinatown,otc alterations permit,8,2021-06-29T00:00:00.000,94111,161983263342,constr type 1,10000,475,office,,"{coordinates:[-122.40194964164358,37.79471013339018],type:Point}",issued,constr type 1
apartments,5,2021-06-29T00:00:00.000,12,5,202106293385,to replace 23 windows facing the street with same type of winodws.,23000,Liberty,8,St,008,2021-06-29T00:00:00.000,0,3606,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-29T00:00:00.000,94114,1619792161558,wood frame (5),20300,211,apartments,12,"{coordinates:[-122.42631951968228,37.75715315824817],type:Point}",issued,wood frame (5)
,,2021-06-29T00:00:00.000,,,202106293399,"reconfigure former manager's unit space & storage on first story to become new adu units, per ordinance 162-16.",,Bush,3,St,004,2021-06-29T00:00:00.000,2,0278,,,Nob Hill,additions alterations or repairs,3,2021-06-29T00:00:00.000,94109,1619847407453,,,1240,,,"{coordinates:[-122.41776739853125,37.789302387713676],type:Point}",filed,
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293397,to comply with complaint 202177214. moving the dryer vent to different location from the front of the house.,500,Montana,11,St,011,2021-06-29T00:00:00.000,0,7056,2,2,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-06-29T00:00:00.000,94112,1619805219538,wood frame (5),500,154,1 family dwelling,1,"{coordinates:[-122.45787931212274,37.71683867434163],type:Point}",issued,wood frame (5)
apartments,5,2021-06-29T00:00:00.000,4,5,202106293395,replace two doors and two (e) aluminum windows with vinly windows. non-street facing - back of house. like for like retrofit.,6700,Diamond Heights,8,Bl,002,2021-06-29T00:00:00.000,0,7504A,3,3,Noe Valley,otc alterations permit,8,2021-06-29T00:00:00.000,94131,1619835226569,wood frame (5),6700,5008,apartments,4,"{coordinates:[-122.44427014147098,37.74649206577307],type:Point}",issued,wood frame (5)
apartments,1,2021-06-29T00:00:00.000,160,1,202106293415,red cloud to reprogram (e) errcs bda head end unit and replace the roof antenna to comply w/ sf frequencies. all other compononts remain unchanged.,10000,Mission,6,St,043,2021-06-29T00:00:00.000,2,3509,11,11,South of Market,otc alterations permit,8,2021-06-29T00:00:00.000,94103,1619821492719,constr type 1,10000,1321,apartments,160,"{coordinates:[-122.41474611319114,37.77587440197854],type:Point}",issued,constr type 1
apartments,5,2021-06-29T00:00:00.000,6,5,202106293443,"4/f unit 15 aka 5: remodel of (e) kitchen and bathroom. new plumbing, electrical and lighting associated with the remodel. no work to be performed in other areas. building does not have a fire sprinkler system.",50000,Lake,1,St,053,2021-06-29T00:00:00.000,2,1369,4,4,Inner Richmond,otc alterations permit,8,2021-06-29T00:00:00.000,94118,161985397130,wood frame (5),50000,845,apartments,6,"{coordinates:[-122.46876206624484,37.78629859815609],type:Point}",filed,wood frame (5)
apartments,5,2021-06-29T00:00:00.000,104,5,202106293402,convert extg tub to shower only replace plumbing fixtures. no wall alteration. no structural work,15000,Brannan,6,St,807,2021-06-29T00:00:00.000,0,3789,16,16,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94107,1619810425138,wood frame (5),15000,239,apartments,104,"{coordinates:[-122.3903643107443,37.78257527524218],type:Point}",issued,wood frame (5)
office,2,2021-06-29T00:00:00.000,,2,202106293429,flrs 2-6: fire alarm t.i: adding 14 strobes to existing notifier nfs2-640 fa system. ref pa 202105120261,11800,Brannan,6,St,037,2021-06-29T00:00:00.000,2,3788,6,6,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94107,1619838167833,constr type 2,11800,301,office,,"{coordinates:[-122.39214401409566,37.78142689215123],type:Point}",issued,constr type 2
apartments,1,2021-06-29T00:00:00.000,440,1,202106293449,this scope of work includes removal and replacement of the sliding glass door in apartments 1116 and 1118,30000,Davis,3,Ct,014,2021-06-29T00:00:00.000,2,0200,22,22,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94111,1619858491633,constr type 1,30000,440,apartments,440,"{coordinates:[-122.39777121397258,37.796696938042395],type:Point}",issued,constr type 1
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293426,"replace (e) tub w/ walk in model lp5116 in master bathroom. install (e0 20 amp circuit. drywall patch, shower head < 1.8 gpm.",9500,21st,7,Av,009A,2021-06-29T00:00:00.000,0,7204,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-29T00:00:00.000,94110,1619834224108,wood frame (5),9500,2950,1 family dwelling,1,"{coordinates:[-122.4767378261783,37.73350303560693],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-29T00:00:00.000,2,5,202106293393,to comply with physical inspection report #cc-8494,500,23rd,1,Av,014,2021-06-29T00:00:00.000,0,1410,3,3,Outer Richmond,otc alterations permit,8,2021-06-29T00:00:00.000,94121,161980098552,wood frame (5),500,267,2 family dwelling,2,"{coordinates:[-122.48310813856489,37.78272710640181],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-29T00:00:00.000,2,5,202106293408,"interior-only modificatios including: new hallway to rear stairs, adding pocket door at new hallway. add additional closet to bedroom.",600,Lincoln,5,Wy,023,2021-06-29T00:00:00.000,2,1747,2,2,Inner Sunset,otc alterations permit,8,2021-06-29T00:00:00.000,94122,1619816514490,wood frame (5),600,235,2 family dwelling,2,"{coordinates:[-122.46060482074051,37.765927839208885],type:Point}",issued,wood frame (5)
office,3,2021-06-29T00:00:00.000,,3,202106293430,"install new booster power supply inside electrical rooms on all floors. notification throughout path of travel/common areas, low frequency horns inside nap rooms, elevator recall, damper shutdown, sprinkler monitoring, etc.",0,Florida,9,St,005,2021-06-29T00:00:00.000,2,4017,4,4,Mission,otc alterations permit,8,2021-06-29T00:00:00.000,94110,1619839506219,constr type 3,54266,575,office,,"{coordinates:[-122.41062782785325,37.76197754544181],type:Point}",filed,constr type 3
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293464,"revision to 201709209130. replace all front windows in-kind. basement: add 1 full bath & new deck. 1st fl: remodel half bath, add 1 full bath. 2nd f: remodel kitchen & bath. 3rd fl: remodel bath & add 1 full bath.",0,Monterey,7,Bl,012,2021-06-29T00:00:00.000,2,3273,4,4,West of Twin Peaks,otc alterations permit,8,2021-06-29T00:00:00.000,94127,1619876155607,wood frame (5),1,1315,1 family dwelling,1,"{coordinates:[-122.46359223463672,37.73057448071065],type:Point}",filed,wood frame (5)
retail sales,5,2021-06-30T00:00:00.000,1,5,202106293450,"comply with nov# 202173975, replacing windows at rear of garge and instalate condensate unite complying with nov# 202025281, installing of shelving",12000,Church,8,St,005,2021-06-29T00:00:00.000,2,6638,2,2,Noe Valley,otc alterations permit,8,2021-06-29T00:00:00.000,94131,1619859493898,wood frame (5),12000,1798,retail sales,1,"{coordinates:[-122.4268104069611,37.742207468993556],type:Point}",issued,wood frame (5)
apartments,1,2021-06-29T00:00:00.000,100,1,202106293451,"applying for level 9 roof terrace assembly permit. all spaces over 49 occupants require a place of assembly permit. per a recent correction notice from sffd, a place of assembly permit has never been filed even though the space is not new. provided plans include ref.200008309233 to show occupantload",1,Mission,6,St,257,2021-06-29T00:00:00.000,2,3722,40,40,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94105,1619870496728,constr type 1,1,689,apartments,100,"{coordinates:[-122.40137229312933,37.78629133183727],type:Point}",filed,constr type 1
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293457,"rebuild 194 sq ft. (e) office/den on 2nd fl. of (e) residence, replace inverted butterfly roof with shed roof on rear 2 story portion of residence, (n) 94 sq ft. roof deck over (e) shed roof, rebuild (e) wood landing and stairs from 2nd fl. to rear yard, (n) wood landing/stairs from 1st fl.",0,Duncan,8,St,021,2021-06-29T00:00:00.000,2,6591,3,3,Noe Valley,otc alterations permit,8,2021-06-29T00:00:00.000,94131,1619866208402,wood frame (5),48000,486,1 family dwelling,1,"{coordinates:[-122.43097863509541,37.746099494726195],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293466,rev tp pa201910094083: change of elevator manufacturer due to field conditions requested by bid.,0,15th,7,Av,011,2021-06-29T00:00:00.000,2,2119,2,2,Inner Sunset,otc alterations permit,8,2021-06-29T00:00:00.000,94116,1619878126517,wood frame (5),1,1995,1 family dwelling,1,"{coordinates:[-122.4722340699575,37.75090133061319],type:Point}",filed,wood frame (5)
apartments,3,2021-06-29T00:00:00.000,38,3,202106293432,"unit 502 - convert (e) kitchen to bedroom; relocate kitchen, rehabilitate (e) bathroom; install washer and dryer",46000,Lombard,2,St,002D,2021-06-29T00:00:00.000,2,0499,7,7,Russian Hill,otc alterations permit,8,2021-06-29T00:00:00.000,94109,161984172034,constr type 3,40000,1340,apartments,38,"{coordinates:[-122.4237182470211,37.8017629096919],type:Point}",filed,constr type 3
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293409,vertical addition to portion of existing attic. interior remodel. add deck on rear of addition,,Bache,9,St,009,2021-06-29T00:00:00.000,2,5808,2,3,Bernal Heights,additions alterations or repairs,3,2021-06-29T00:00:00.000,94110,1619815188675,wood frame (5),75000,46,1 family dwelling,1,"{coordinates:[-122.41774416600057,37.73413405251046],type:Point}",filed,wood frame (5)
2 family dwelling,,2021-06-29T00:00:00.000,,,202106293440,re-roofing: remove and replace roofing material / existing roofing material (in-kind),13500,Brighton,11,Av,030,2021-06-29T00:00:00.000,0,6980,,,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-06-29T00:00:00.000,94112,1619850216123,,13500,142,2 family dwelling,,"{coordinates:[-122.45480264875701,37.720838179346835],type:Point}",issued,
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293394,"bath remodel. demo and rebuilt, no change to plumbing and electrical. new tile suround.",14500,25th,4,Av,002B,2021-06-29T00:00:00.000,0,2426,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-29T00:00:00.000,94116,1619802135514,wood frame (5),10000,2515,1 family dwelling,1,"{coordinates:[-122.48225131478324,37.74054071656441],type:Point}",issued,wood frame (5)
apartments,,2021-06-29T00:00:00.000,5,,202106293469,"new 1,795 sf accessory dwelling unit at existing ground floor garage; including renovation of garage into a 1 bedroom, habitable accessory dwelling unit.",,Sanchez,8,St,002,2021-06-29T00:00:00.000,1,3654,,,Noe Valley,additions alterations or repairs,3,2021-06-29T00:00:00.000,94114,1619882405196,,50000,1056,apartments,4,"{coordinates:[-122.43002816211222,37.752130676843464],type:Point}",filed,
,1,2021-07-01T00:00:00.000,,1,202106293433,red cloud to replace the errcs bda head end unit as well as the donor "roof" antenna to comply with sf frequencies. all other components remain unchanged.,20000,09th,6,St,066,2021-06-29T00:00:00.000,2,3701,17,17,South of Market,otc alterations permit,8,2021-06-29T00:00:00.000,94103,1619842458146,constr type 1,20000,55,,,"{coordinates:[-122.41508825010186,37.777105024433325],type:Point}",issued,constr type 1
